0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:39 +0800] "GET /web/login/captcha HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:55 +0800] "POST /web/login/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:55 +0800] "POST /web/public/getUserOragnList HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:55 +0800] "GET /web/shiroUser/info?_1543469755438&_=1543469755331 HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:56 +0800] "GET /web/css/fonts/ionicons.ttf?v=2.0.0 HTTP/1.1" 200 188508
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:57 +0800] "POST /web/sysShiroMenu/queryByMenuTree HTTP/1.1" 200 230318
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:58 +0800] "POST /web/shiroCode/queryByBaseCodeAll HTTP/1.1" 200 39486
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:36:01 +0800] "GET /web/images/finance_active.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:36:01 +0800] "GET /web/images/finance.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:25:53 +0800] "GET /web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:25:54 +0800] "GET /web/shiroUser/info?_1543483554407&_=1543483554035 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:25:54 +0800] "POST /web/sysShiroMenu/queryByMenuTree HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:25:54 +0800] "POST /web/shiroCode/queryByBaseCodeAll HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:25:54 +0800] "POST /web/public/getUserOragnList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:25:54 +0800] "GET /web/images/favicon.png HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:25:55 +0800] "GET /web/login/captcha HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:25:55 +0800] "GET /web/images/favicon.png HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:25:57 +0800] "POST /web/login/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:25:58 +0800] "POST /web/public/getUserOragnList HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:25:58 +0800] "GET /web/shiroUser/info?_1543483557932&_=1543483557787 HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:25:58 +0800] "POST /web/sysShiroMenu/queryByMenuTree HTTP/1.1" 200 230318
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:25:59 +0800] "POST /web/shiroCode/queryByBaseCodeAll HTTP/1.1" 200 39486
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:03 +0800] "GET /web/finance/FixedAssets/FixedAssetsSubsidiaryLedger/index.html HTTP/1.1" 200 13573
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:03 +0800] "GET /web/js/common.js?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:03 +0800] "GET /web/ktc/css/common.css?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 19690
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:03 +0800] "GET /web/css/main.css?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:03 +0800] "GET /web/js/basedata/components/base-data-list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:03 +0800] "GET /web/js/basedata/components/ht-btns.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:03 +0800] "GET /web/plugins/layui/layui.all.js?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 227001
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:03 +0800] "GET /web/js/basedata/components/search-select-more.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:03 +0800] "GET /web/js/basedata/components/area-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:03 +0800] "GET /web/js/basedata/components/date-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:03 +0800] "GET /web/js/basedata/components/ht-add-del-btn.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:04 +0800] "GET /web/js/basedata/components/ht-tree.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:04 +0800] "GET /web/js/utils.js?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 23299
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:04 +0800] "GET /web/js/http.js?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 6394
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:04 +0800] "GET /web/ktc/js/app.js?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 79255
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:04 +0800] "GET /web/dist/css/vendors.min.css?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 452989
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:04 +0800] "GET /web/js/basedata/components/common-record-list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:04 +0800] "GET /web/plugins/Lodop/LodopCommFun.js?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 15912
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:04 +0800] "GET /web/js/finance/components/ht-input-tree.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:04 +0800] "GET /web/js/finance/FixedAssets/FixedAssetsSubsidiaryLedger/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:04 +0800] "GET /web/plugins/Lodop/LodopFuncs.js?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 8380
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:04 +0800] "GET /web/js/finance/components/ht-assets-list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:04 +0800] "GET /web/ktc/css/print.css?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 891
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:04 +0800] "GET /web/dist/js/vendors.min.js?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 1149654
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:05 +0800] "POST /web/testDocument/getCurrentUserDeptInfo HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:06 +0800] "POST /web/assetsclassescontroller/assetsClassesList HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:08 +0800] "POST /web/expenseAllocation/initData HTTP/1.1" 200 19509
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:08 +0800] "GET /web/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:10 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 19363
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:10 +0800] "POST /web/facard/getFixedAssetsList HTTP/1.1" 200 1493
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:22 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 56358
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:26:42 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 56358
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:27:12 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 19363
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:27:19 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 16491
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:27:27 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 10250
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:27:37 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 28196
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:27:47 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 48985
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:28:02 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 70153
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:29:56 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 70153
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:29:59 +0800] "GET /web/plugins/iview/iview.min.js.map HTTP/1.1" 404 157
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:04 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 70153
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:12 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 56358
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:18 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 56358
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:20 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 56358
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:21 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 56358
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:23 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 56358
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:24 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 56358
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:25 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 56358
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:26 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 56358
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:29 +0800] "GET /web/index.html HTTP/1.1" 200 7366
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/ktc/css/gold.css HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/css/main.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/ktc/css/base.css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/ktc/css/inner_gold.css HTTP/1.1" 200 3663
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/plugins/layui/css/layui.css HTTP/1.1" 200 59632
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/css/bootstrap.min.css HTTP/1.1" 200 121158
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/plugins/ztree/css/zTreeStyle/zTreeStyle.css HTTP/1.1" 200 6319
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/plugins/jqgrid/ui.jqgrid-bootstrap.css HTTP/1.1" 200 19220
