0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:57:05 +0800] "POST /web/dept/imported HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:57:07 +0800] "POST /web/incomeTax/initPage HTTP/1.1" 200 8176
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:57:07 +0800] "POST /web/dept/imported HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:57:07 +0800] "POST /web/incomeTax/listTaxRateEntry HTTP/1.1" 200 15573
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:57:56 +0800] "GET /web/finance/Wages/employee/index.html HTTP/1.1" 200 19540
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:57:56 +0800] "GET /web/js/finance/Wages/employee/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:57:56 +0800] "POST /web/WmEmployeeAppController/initPage HTTP/1.1" 200 6212
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:57:57 +0800] "POST /web/dept/imported HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:57:57 +0800] "POST /web/dept/imported HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:57:57 +0800] "POST /web/WmEmployeeAppController/getEmployeeList HTTP/1.1" 200 15884
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:59:46 +0800] "GET /web/finance/Wages/wageEntry/index.html HTTP/1.1" 200 19440
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:59:46 +0800] "GET /web/js/finance/Wages/wageEntry/index.js HTTP/1.1" 200 15729
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:59:47 +0800] "POST /web/app/wmEmployeeItems/initData HTTP/1.1" 200 7922
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:59:47 +0800] "POST /web/app/wmEmployeeItems/changeValue HTTP/1.1" 200 15609
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:59:51 +0800] "POST /web/app/wmEmployeeItems/list HTTP/1.1" 200 25639
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:59:52 +0800] "POST /web/testDocument/getCurrentUserDeptInfo HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:26 +0800] "GET /web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:26 +0800] "GET /web/ktc/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:27 +0800] "POST /web/public/getUserOragnList HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:27 +0800] "GET /web/shiroUser/info?_1545699927167&_=1545699926943 HTTP/1.1" 200 4437
