127.0.0.1 - - [28/Nov/2018:08:33:09 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:34:22 +0800] "POST /web/login/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:34:23 +0800] "GET /web/shiroUser/info?_1543365262771&_=1543365262654 HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:34:23 +0800] "POST /web/public/getUserOragnList HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:34:23 +0800] "GET /web/css/fonts/ionicons.ttf?v=2.0.0 HTTP/1.1" 200 188508
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:34:24 +0800] "POST /web/sysShiroMenu/queryByMenuTree HTTP/1.1" 200 230318
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:34:24 +0800] "GET /web/images/finance.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:34:24 +0800] "GET /web/images/finance_active.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:34:25 +0800] "POST /web/shiroCode/queryByBaseCodeAll HTTP/1.1" 200 39486
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:11 +0800] "GET /web/finance/FixedAssets/FixedAssetsSubsidiaryLedger/index.html HTTP/1.1" 200 13573
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:11 +0800] "GET /web/css/main.css?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/dist/css/vendors.min.css?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 200 452989
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/ktc/css/common.css?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 200 19690
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/plugins/layui/layui.all.js?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 200 227001
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/js/common.js?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/js/http.js?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 200 6394
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/js/utils.js?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 200 23299
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/ktc/js/app.js?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 200 79255
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/plugins/Lodop/LodopFuncs.js?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 200 8380
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/plugins/Lodop/LodopCommFun.js?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 200 15912
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/js/basedata/components/search-select-more.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/dist/js/vendors.min.js?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 200 1149654
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/js/basedata/components/base-data-list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/js/basedata/components/area-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/js/basedata/components/date-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/js/basedata/components/ht-tree.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/js/basedata/components/ht-add-del-btn.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/js/basedata/components/common-record-list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/js/basedata/components/ht-btns.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:12 +0800] "GET /web/js/finance/components/ht-input-tree.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:13 +0800] "GET /web/js/finance/FixedAssets/FixedAssetsSubsidiaryLedger/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:13 +0800] "GET /web/js/finance/components/ht-assets-list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:13 +0800] "GET /web/ktc/css/print.css?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 200 891
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:13 +0800] "POST /web/testDocument/getCurrentUserDeptInfo HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:13 +0800] "POST /web/assetsclassescontroller/assetsClassesList HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:15 +0800] "POST /web/expenseAllocation/initData HTTP/1.1" 200 19508
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:15 +0800] "GET /web/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:16 +0800] "POST /web/subsidiaryLedger/detail HTTP/1.1" 200 10237
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:35:17 +0800] "POST /web/facard/getFixedAssetsList HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:04:37 +0800] "GET /web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:04:37 +0800] "GET /web/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:04:37 +0800] "GET /web/shiroUser/info?_1543381477949&_=1543381477700 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:04:37 +0800] "POST /web/sysShiroMenu/queryByMenuTree HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:04:37 +0800] "POST /web/public/getUserOragnList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:04:37 +0800] "POST /web/shiroCode/queryByBaseCodeAll HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:04:38 +0800] "GET /web/images/favicon.png HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:04:38 +0800] "GET /web/login/captcha HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:04:38 +0800] "GET /web/images/favicon.png HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:04:39 +0800] "POST /web/login/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:04:39 +0800] "GET /web/shiroUser/info?_1543381479802&_=1543381479619 HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:04:39 +0800] "POST /web/public/getUserOragnList HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:04:40 +0800] "POST /web/shiroCode/queryByBaseCodeAll HTTP/1.1" 200 39486
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:04:40 +0800] "POST /web/sysShiroMenu/queryByMenuTree HTTP/1.1" 200 230318
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:47 +0800] "GET /web/finance/FixedAssets/InitialFixedAssetsList/index.html HTTP/1.1" 200 49999
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:47 +0800] "GET /web/plugins/layui/layui.all.js?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:47 +0800] "GET /web/ktc/css/ht-fixed-table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:47 +0800] "GET /web/dist/css/vendors.min.css?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:47 +0800] "GET /web/js/common.js?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:47 +0800] "GET /web/css/main.css?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:47 +0800] "GET /web/dist/js/vendors.min.js?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:47 +0800] "GET /web/ktc/css/common.css?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:47 +0800] "GET /web/js/http.js?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/ktc/js/app.js?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/js/utils.js?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/plugins/Lodop/LodopFuncs.js?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/js/basedata/components/ht-btns.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/js/basedata/components/search-select-more.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/js/basedata/components/area-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/plugins/Lodop/LodopCommFun.js?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/js/basedata/components/common-record-list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/js/basedata/components/ht-add-del-btn.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/js/basedata/components/date-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/js/basedata/components/ht-tree.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/js/finance/components/ht-input-tree.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/js/basedata/components/base-data-list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/js/finance/FixedAssets/InitialFixedAssetsList/assetNumber.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/ktc/css/print.css?_=70616f08-e9dd-4997-bb30-6e10b2b87b6f HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/js/finance/components/ht-tree.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/js/finance/FixedAssets/InitialFixedAssetsList/index.js HTTP/1.1" 200 81002
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/plugins/layui/css/modules/laydate/default/laydate.css?v=5.0.9 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/plugins/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:48 +0800] "GET /web/plugins/layui/css/modules/code.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "POST /web/assetsclassescontroller/assetsClassesList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "POST /web/useState/initTree HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "POST /web/app/financeFaChangeMode/treeData HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "POST /web/app/financeFaChangeMode/treeData HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "POST /web/app/financeFaChangeMode/treeData HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "POST /web/testDocument/getCurrentUserDeptInfo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "POST /web/assetsclassescontroller/assetsClassesList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "POST /web/useState/initTree HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "POST /web/facard/periods HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "POST /web/bankdepositstatement/getognlist HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "POST /web/falocation/initTree HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "POST /web/facard//sysproval/assetCurrentAccountingPeriod HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "POST /web/financeCommon/sysIsEnabled/4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "POST /web/facard/listchangetype HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "POST /web/facard//sysproval/assetCurrentAccountingYear HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "POST /web/facard/listuser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "POST /web/tfinancebalance/listaccountsubject HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "POST /web/facard/listcard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "GET /web/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:49 +0800] "GET /web/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:53 +0800] "GET /web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/ktc/css/inner_gold.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/ktc/css/gold.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/ktc/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/plugins/layui/css/layui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/plugins/jqgrid/ui.jqgrid-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/plugins/ztree/css/zTreeStyle/zTreeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/css/iview.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/ktc/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/css/basedata/add-weight-setting.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/css/basedata/ht-list-common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/js/jquery-2.0.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/js/vue.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/ktc/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/plugins/iview/iview.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:55 +0800] "GET /web/plugins/layui/layui.all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "GET /web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "POST /web/sysShiroMenu/queryByMenuTree HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "POST /web/public/getUserOragnList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "POST /web/shiroCode/queryByBaseCodeAll HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "GET /web/shiroUser/info?_1543384076069&_=1543384075921 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "GET /web/css/fonts/ionicons.ttf?v=2.0.0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "GET /web/images/email.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "GET /web/images/open.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "GET /web/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "GET /web/images/alarm.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "POST /web/sysShiroMenu/queryByMenuTree HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "POST /web/public/getUserOragnList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "GET /web/shiroUser/info?_1543384076388&_=1543384076281 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "POST /web/shiroCode/queryByBaseCodeAll HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "GET /web/css/fonts/ionicons.ttf?v=2.0.0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "GET /web/images/open.png HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "GET /web/login.html HTTP/1.1" 200 6290
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "GET /web/login.html HTTP/1.1" 200 6290
0:0:0:0:0:0:0:1 - - [28/Nov/2018:13:47:56 +0800] "GET /web/login.html HTTP/1.1" 200 6290
